opinion,respuesta,sentimiento_predicho,rank
1,No porque pues deberíamos... todo eso se tiene que consultar antes para verlo de la seguridad.,negativo,2
2,Representa más beneficios en cuanto a ciertas cosas dependiendo de... ¿te puede ayudar o te puede facilitar más las tareas? ,neutro,3
3,Pensaría en el peor escenario porque al día de hoy no están tan desarrollados los modelos como para confiar la seguridad física de una persona.,negativo,2
4,Dudaría de la experiencia porque todo se basa en los errores humanos y aprender de ellos para que puedas saber si es verídico o no el resultado.,negativo,2
5,Confiado porque estaría tomando datos veraces,positivo,4
6,Me sentiria ofendido  Porque tal vez no conoce todos los antecedentes que hay.,negativo,2
7,Me sentiría invadido porque estarían expuestos mis datos ante cualquier persona que pueda infiltrarse.,negativo,1
8,Me sentiría observado porque estaría llociendo objeto de un caso de estudio.,negativo,2
9,No porque no creo que tenga el razonamiento necesario para una decisión así.,negativo,2
10,Más beneficios pero nunca hay que dejar de lado los riesgos.,neutro,3
11,Es una emoción entre tranquilidad y nerviosismo porque nunca se sabe nada.,positivo,5
12,No lo sé tal vez confiaría porque aunque no es necesario que gano es tan actualizado la información sobre eso pero luego tendríamos de haber conexión de IA's que lo hagan.,negativo,2
13,Bien porque puse que la IA está mediante cálculos y todo.,neutro,3
14,Pues es la misma respuesta. La IA detrás de todo ya tiene algoritmos de decisión que tal vez un ser humano no entienda o no es capaz de ver así que si la IA tomó la decisión yo creo que sería la correcta.,negativo,2
15,Entre un poco de ambas porque tal vez por ahí se cuelgan contraseñas o cosas así tal vez se llevan un registro y tal vez no pero sería un poco cómodo.,neutro,3
16,Aunque no creo que sea posible yo me sentiría muy raro. Porque una intelencia artificial nunca va a poder entender o sobre pensar muchas cosas.,negativo,2
17,Sí porque la inteligencia artificial da datos exactos y no se equivoca.,neutro,3
18,Pues es una ayuda para la humanidad para tener todo bien controlado.,positivo,5
19,Pues tendría un poco de duda porque no estaría 100% seguro viajar en manos de una IA.,neutro,3
20,Confiaría totalmente porque la IA está programada para dar lo exacto.,positivo,5
21,Pues estando la IA de por medio se supone que ya analizó todo y no se equivoca.,neutro,3
22,Me deprimiría porque pues me faltaría algo que detectó que no soy apto para eso.,negativo,2
23,Es una parte protegida y otra parte invadida porque se supone que todo debe ser privado para el ser humano.,negativo,1
24,En las amistades yo pienso que ahí sí no sería tan probable que una IA participara porque simplemente uno escoge los amigos y las amistades.,neutro,3
25,Sí me sentiría seguro porque se supone que la inteligencia artificial está diseñada a base de órdenes algoritmos bien estructurados.,neutro,3
26,Yo creo que representa más beneficios para la humanidad porque como dije anteriormente la inteligencia artificial está diseñada a base de algoritmos bien estructurados para obedecer órdenes.,positivo,5
